"Class","Property","Type","Mapping","SourceFile"
"Affretes_Contact","m_nIDAffretes_Contact","un entier sur 8 octets","IDAffretes_Contact","_Affretes_Contact.wdc"
"Affretes_Contact","m_nIDAffretes","un entier sur 8 octets","IDAffretes","_Affretes_Contact.wdc"
"Affretes_Contact","m_sNomPrenom","une chaîne","NomPrenom","_Affretes_Contact.wdc"
"Affretes_Contact","m_sEmail_contact","une chaîne","Email_contact","_Affretes_Contact.wdc"
"Affretes","m_nIDAffretes","un entier sur 8 octets","IDAffretes","_Affretes.wdc"
"Affretes","m_sNom","une chaîne","Nom","_Affretes.wdc"
"Affretes","m_sAdresse1","une chaîne","Adresse1","_Affretes.wdc"
"Affretes","m_sAdresse2","une chaîne","Adresse2","_Affretes.wdc"
"Affretes","m_sAdresse3","une chaîne","Adresse3","_Affretes.wdc"
"Affretes","m_sCode_Pays","une chaîne","Code_Pays","_Affretes.wdc"
"Affretes","m_sCode_Postal","une chaîne","Code_Postal","_Affretes.wdc"
"Affretes","m_sVille","une chaîne","Ville","_Affretes.wdc"
"Affretes","m_sTelephone","une chaîne","Telephone","_Affretes.wdc"
"Affretes","m_sFax","une chaîne","Fax","_Affretes.wdc"
"Affretes","m_sEmail_contact","une chaîne","Email_contact","_Affretes.wdc"
"Affretes","m_sIdentifiant_TVA","une chaîne","Identifiant_TVA","_Affretes.wdc"
"Affretes","m_sSiret","une chaîne","Siret","_Affretes.wdc"
"Affretes","m_nIdagence","un entier sur 8 octets","Idagence","_Affretes.wdc"
"Agence","m_nIdagence","un entier sur 8 octets","Idagence","_Agence.wdc"
"Agence","m_sNom","une chaîne ANSI","Nom","_Agence.wdc"
"Agence","m_sAdresse1","une chaîne ANSI","Adresse1","_Agence.wdc"
"Agence","m_sAdresse2","une chaîne ANSI","Adresse2","_Agence.wdc"
"Agence","m_sAdresse3","une chaîne ANSI","Adresse3","_Agence.wdc"
"Agence","m_sCode_Pays","une chaîne ANSI","Code_Pays","_Agence.wdc"
"Agence","m_sCode_Postal","une chaîne ANSI","Code_Postal","_Agence.wdc"
"Agence","m_sVille","une chaîne ANSI","Ville","_Agence.wdc"
"Agence","m_sN_Tel","une chaîne ANSI","N_Tel","_Agence.wdc"
"Agence","m_sN_fax","une chaîne ANSI","N_fax","_Agence.wdc"
"Agence","m_sE_mail","une chaîne ANSI","E_mail","_Agence.wdc"
"Agence","m_sCode_societe","une chaîne ANSI","Code_societe","_Agence.wdc"
"Agence","m_sCode_adherent","une chaîne ANSI","code_adherent","_Agence.wdc"
"Agence","m_sCle_unique_agence","une chaîne ANSI","cle_unique_agence","_Agence.wdc"
"Agence","m_sCode_agence","une chaîne ANSI","Code_agence","_Agence.wdc"
