"Class","FieldCount","SourceFile","FirstFields"
"Expedition","161","_Expedition.wdc","IDExpedition, cle_unique_agence, Recepisse, Type_expedition, Port, Code_expediteur, Nom_expediteur, Adresse1_exp, Adresse2_exp, Adresse3_exp, Pays_exp, Code_postal_exp"
"Clients","143","_Clients.wdc","cle_unique_agence, code_clients, Nom_clients, adresse_1, adresse_2, adresse_3, Code_pays, Code_postal, Ville, Telephone, Num_fax, E_mail"
"Agence","97","_Agence.wdc","Idagence, Nom, Adresse1, Adresse2, Adresse3, Code_Pays, Code_Postal, Ville, N_Tel, N_fax, E_mail, Code_societe"
"Expedition_Matieres","43","_Expedition_Matieres.wdc","IDExpedition_Matieres, IDExpedition, description, Regime_reglementaire, Code_matiere, Code_classification, Numero_version_code_matieres, Numero_undg, Temperature_inflammation, Specifiant_unite_de_mesure, Temperature_inflammation_consignation, Groupe_emballage"
"Facture_Entete","26","_Facture_Entete.wdc","IDFacture_Entete, cle_unique_agence, Avoir, Acompte, Numero_Facture, Date_facturation, Code_validation, Logo_Agence, Nom_Agence, Pavé_Agence, Nom_client, Pavé_Client"
"CTarifsClient","20","_CTarifsClient.wdc","IDTarifcli, cle_unique_agence, code_produit, date_application, code_clients, type_tarif, Code_tarif, code_timbre_port_paye, code_timbre_valeur_declaree, Majo_mino, Valeur_majo_mino, Agence_produit_client_type_date"
"Facture_Detail","19","_Facture_Detail.wdc","IDFacture_Detail, IDFacture_Entete, Numero_Ligne, Rubrique_Identifiant, Rubrique_Renseignement, Colis, Poids, Montant, Code_produit, PoliceGras, PU, CodePresta"
"Utilisateur","17","_Utilisateur.wdc","IDUtilisateur, cle_unique_agence, Nom_utilisateur, prenom_utilisateur, Mot_de_passe, Cle_unique_utilisateur, Login, date_livre_de_caisse, Pas_de_controle_sur_le_nb_connection, Code_regroupement, Email_contact, EmailFichierHtml"
"CChauffeur","17","_CChauffeur.wdc","IDChauffeur, Code_chauffeur, Nom, Prenom_chauffeur, Tournée_EnCours, Chargement_EnCours, Dechargement_EnCours, code_tournée, date_tournee, Latitude, Longitude, Altitude"
"CLivraisonTournee","16","_CLivraisonTournee.wdc","IDTournee_Numerique, code_tournée, date_tournee, IDChauffeur, IDExpedition, Traitee, Reserve, Latitude, Longitude, Nom_destinataire, Adresse1_des, Adresse2_des"
"CDecoupage","14","_CDecoupage.wdc","IDDecoupage, cle_unique_agence, Nom_decoupage, Code_Pays, Departement, Code_Postal, Reference, Agence_nom, Cle_totale, Decoupage_cle_unique, Cle_decoupage, cle_unique_agenceNom_decoupageCode_PaysDepartementCode_Postal"
"Affretes","14","_Affretes.wdc","IDAffretes, Nom, Adresse1, Adresse2, Adresse3, Code_Pays, Code_Postal, Ville, Telephone, Fax, Email_contact, Identifiant_TVA"
"CTarifs","13","_CTarifs.wdc","IDTarif, cle_unique_agence, Code_tarif, date_application, type_tarif, taxe_annexe, Agence_code_date, Tarif_cle_unique, Agence_code, Nom_decoupage, code_borne, cle_unique_agencecode_borne"
"Pci","10","_Pci.wdc","IDPci, Pci_expedition, Colis, IDExpedition, Scanee_dechargement, Regul_dechargement, Transmis_vers_site_central, Reference_unique_gls, Colis_totaux, Etiquette_En_Duplicata"
"CBornes","8","_CBornes.wdc","IDBornePoids, cle_unique_agence, code_borne, SANSARRONDI, ARRONDI10, ARRONDI100, borne_cle_unique, cle_unique_agencecode_borne"
"Tournee","7","_Tournee.wdc","IDTournee, code_tournée, cle_unique_agence, Libelle, IDClients, Valorisation_journaliere_enlevement, Code_regroupement"
"Tva","6","_Tva.wdc","IDTva, code_tva, Valeur_Tva, Tva_par_defaut, Numero_de_compte, libelle_compte"
"Affretes_Contact","4","_Affretes_Contact.wdc","IDAffretes_Contact, IDAffretes, NomPrenom, Email_contact"
"PreTournee_Entete","4","_PreTournee_Entete.wdc","IDPreTournee_Entete, Date_creation, Heure_Creation, IndiceDePretournee"
"UniteConditionnement","3","_UniteConditionnement.wdc","IDUniteConditionnement, Libelle, Consignée"
"Optimizer","2","_Optimizer.wdc","IDOptimizer, Libelle"
"PreTournee_Detail","2","_PreTournee_Detail.wdc","IDPreTournee_Detail, IDPreTournee_Entete"
