"Table","PhysicalName","LogicalDatabase","Connection","Field","TypeCode","TypeLabel","KeyType","Size","IsComposite","Nullable"
"Societe","Societe","Societe","_127_0_0_1_Opentrans","IDSociete","24","id auto 8 octets","1","8","no","0"
"Societe","Societe","Societe","_127_0_0_1_Opentrans","Nom","2","texte","2","35","no","0"
"Societe","Societe","Societe","_127_0_0_1_Opentrans","Adresse1","2","texte","0","35","no","0"
"Societe","Societe","Societe","_127_0_0_1_Opentrans","Adresse2","2","texte","0","35","no","0"
"Societe","Societe","Societe","_127_0_0_1_Opentrans","Adresse3","2","texte","0","35","no","0"
"Societe","Societe","Societe","_127_0_0_1_Opentrans","Code_Pays","2","texte","0","3","no","0"
"Societe","Societe","Societe","_127_0_0_1_Opentrans","Code_Postal","2","texte","0","7","no","0"
"Societe","Societe","Societe","_127_0_0_1_Opentrans","Ville","2","texte","0","50","no","0"
"Societe","Societe","Societe","_127_0_0_1_Opentrans","N_Tel","2","texte","0","30","no","0"
"Societe","Societe","Societe","_127_0_0_1_Opentrans","N_fax","2","texte","0","30","no","0"
"Societe","Societe","Societe","_127_0_0_1_Opentrans","E_mail","2","texte","0","50","no","0"
"Societe","Societe","Societe","_127_0_0_1_Opentrans","Code_societe","2","texte","1","5","no","0"
"Societe","Societe","Societe","_127_0_0_1_Opentrans","Code_banque","2","texte","0","5","no","0"
"Societe","Societe","Societe","_127_0_0_1_Opentrans","Code_guichet","2","texte","0","5","no","0"
"Societe","Societe","Societe","_127_0_0_1_Opentrans","code_compte","2","texte","0","11","no","0"
"Societe","Societe","Societe","_127_0_0_1_Opentrans","Code_cle","2","texte","0","2","no","0"
"Societe","Societe","Societe","_127_0_0_1_Opentrans","Domiciliation","2","texte","0","30","no","0"
"Pays","Pays","Pays","_127_0_0_1_Opentrans","IDPays","24","id auto 8 octets","1","8","no","0"
"Pays","Pays","Pays","_127_0_0_1_Opentrans","Code_Pays","2","texte","1","3","no","0"
"Pays","Pays","Pays","_127_0_0_1_Opentrans","Libelle","2","texte","2","30","no","0"
"Pays","Pays","Pays","_127_0_0_1_Opentrans","Control_localite","37","booleen","0","1","no","0"
"Pays","Pays","Pays","_127_0_0_1_Opentrans","Pays_par_defaut","37","booleen","0","1","no","0"
"Pays","Pays","Pays","_127_0_0_1_Opentrans","Taille_departement","36","entier 1 octet","0","1","no","0"
"Pays","Pays","Pays","_127_0_0_1_Opentrans","Taille_Num_tel","36","entier 1 octet","0","1","no","0"
"Pays","Pays","Pays","_127_0_0_1_Opentrans","Indicatif_Telephonique","26","entier 4 octets","0","4","no","0"
"Pays","Pays","Pays","_127_0_0_1_Opentrans","Code_Gls","36","entier 1 octet","0","1","no","0"
"Pays","Pays","Pays","_127_0_0_1_Opentrans","Extraction_Dept_gls","36","entier 1 octet","0","1","no","0"
"Pays","Pays","Pays","_127_0_0_1_Opentrans","Code_Iso","2","texte","0","2","no","0"
"Agence","Agence","Societe","_127_0_0_1_Opentrans","Idagence","24","id auto 8 octets","1","8","no","0"
"Agence","Agence","Societe","_127_0_0_1_Opentrans","Nom","2","texte","0","35","no","0"
"Agence","Agence","Societe","_127_0_0_1_Opentrans","Adresse1","2","texte","0","35","no","0"
"Agence","Agence","Societe","_127_0_0_1_Opentrans","Adresse2","2","texte","0","35","no","0"
"Agence","Agence","Societe","_127_0_0_1_Opentrans","Adresse3","2","texte","0","35","no","0"
"Agence","Agence","Societe","_127_0_0_1_Opentrans","Code_Pays","2","texte","0","3","no","0"
"Agence","Agence","Societe","_127_0_0_1_Opentrans","Code_Postal","2","texte","0","7","no","0"
"Agence","Agence","Societe","_127_0_0_1_Opentrans","Ville","2","texte","0","50","no","0"
