"Table","FieldCount","PhysicalName","LogicalDatabase","Connection","KeyFields","FirstFields"
"Expedition","240","Expedition","Expedition","_127_0_0_1_Opentrans","IDExpedition, cle_unique_agence, Recepisse, Compte_payeur, Numero_Facture, Code_validation_facture, code_tva, Code_produit, Adherent_livreur, date_depart","IDExpedition, cle_unique_agence, Recepisse, Type_expedition, Port, Code_expediteur, Nom_expediteur, Adresse1_exp, Adresse2_exp, Adresse3_exp, Pays_exp, Code_postal_exp"
"arch_Expedition","171","arch_Expedition","Expedition1","_127_0_0_1_Opentrans","IDExpedition, cle_unique_agence, Recepisse, Numero_Facture, Adherent_livreur, date_depart, Cle_taxation, cle_facturation, Sold�e, Cle_consultation","IDExpedition, cle_unique_agence, Recepisse, Type_expedition, Port, Code_expediteur, Nom_expediteur, Adresse1_exp, Adresse2_exp, Adresse3_exp, Pays_exp, Code_postal_exp"
"Clients","150","Clients","Clients","_127_0_0_1_Opentrans","IDClients, cle_unique_agence, code_clients, Code_reglement, Agence_code, Siret, cle_traction, depot, Gie, cle_depot","IDClients, cle_unique_agence, code_clients, Nom_clients, adresse_1, adresse_2, adresse_3, Code_pays, Code_postal, Ville, Telephone, Num_fax"
"ExpedSupprimee","144","ExpedSupprimee","ExpedSupprimee","_127_0_0_1_Opentrans","IDExpedition, cle_unique_agence, Recepisse, Numero_Facture, Adherent_livreur, date_depart, Cle_taxation, cle_facturation, Sold�e, Cle_consultation","IDExpedition, cle_unique_agence, Recepisse, Type_expedition, Port, Code_expediteur, Nom_expediteur, Adresse1_exp, Adresse2_exp, Adresse3_exp, Pays_exp, Code_postal_exp"
"SasEdi","105","SasEdi","Expedition","_127_0_0_1_Opentrans","IDsasedi, Compte_payeurdate_bordereau_groupage, Compte_payeurbordereau_ramasse, Code_barre_recepisse","cle_unique_agence, Recepisse, Type_expedition, Port, Code_expediteur, Nom_expediteur, Adresse1_exp, Adresse2_exp, Adresse3_exp, Pays_exp, Code_postal_exp, ville_exp"
"Agence","101","Agence","Societe","_127_0_0_1_Opentrans","Idagence, Code_societe, code_adherent, cle_unique_agence, Code_agence, Identifiant_EDI, Siret, Societe_agence","Idagence, Nom, Adresse1, Adresse2, Adresse3, Code_Pays, Code_Postal, Ville, N_Tel, N_fax, E_mail, Code_societe"
"Historique","73","Historique","Historique","_127_0_0_1_Opentrans","IDHistorique, Code_situation, Code_Justification, Cle_bordereau, Cle_transmission, Cle_borderau_edite, Cle_envergure, Cle_prepa_bordereau, Existe_exped, cle_existe","IDHistorique, Type_pointage, code_adherent, Code_situation, Code_Justification, Date_evenement, Heure_evenement, Date_reception, Heure_reception, Date_emission, Heure_emission, Signataire"
"arch_Historique","66","arch_Historique","Historique1","_127_0_0_1_Opentrans","IDHistorique, Code_situation, Code_Justification, Cle_bordereau, Cle_transmission, Cle_borderau_edite, Cle_envergure, Cle_prepa_bordereau, Existe_exped, cle_existe","IDHistorique, Type_pointage, code_adherent, Code_situation, Code_Justification, Date_evenement, Heure_evenement, Date_reception, Heure_reception, Date_emission, Heure_emission, Signataire"
"Parametres","58","Parametres","Parametres","_127_0_0_1_Opentrans","IDParametres","IDParametres, Repertoire_emission, Repertoire_reception, Repertoire_Temporaire, Emplacement_Ftp, Interface_Plan_Transport, Imprimante_etiquettes, Procedure_vidage, Interface_de_vidage, Repertoire_reception_vidage, Nom_fichier_emission, Repertoire_emission_pistolet"
"Temp_liste_pos","50","Temp_liste_pos","Temp_liste_pos","","IDTemp_liste_pos, Compte_payeurdate_departRecepisse, Adherent_livreur, Adherent_livreurdate_departRecepisse","IDTemp_liste_pos, cle_unique_agence, Compte_payeur, Nom_expediteur, Nom_destinataire, Pays_des, Code_postal_des, Ville_des, Nb_pos, Colis, Poids, cremb"
